keyword	volume	difficulty	has_paa	parent	intents
guitarra elétrica	17000	0	PAA	guitarra elétrica	Informational,Commercial,Non-branded,Non-local
amplificador guitarra	5900	0	PAA	amplificador guitarra	Informational,Commercial,Transactional,Non-branded,Non-local
pedaleira guitarra	4800	0	PAA	pedaleira para guitarra	Informational,Commercial,Transactional,Non-branded,Non-local
amplificador de guitarra	1100	0	PAA	amplificador guitarra	Informational,Commercial,Transactional,Non-branded,Non-local
cordas guitarra	900	0	PAA	corda guitarra	Commercial,Transactional,Non-branded,Non-local
guitarra 7 cordas	800	0	PAA	guitarra 7 cordas	Commercial,Transactional,Non-branded,Non-local
pedaleira para guitarra	700	0	PAA	pedaleira de guitarra	Informational,Commercial,Non-branded,Non-local
pedaleira de guitarra	700	0	PAA	pedaleira guitarra	Informational,Commercial,Transactional,Non-branded,Non-local
mini amplificador guitarra	500	0	PAA	mini amplificador guitarra	Commercial,Transactional,Non-branded,Non-local
cordas de guitarra	450	0	PAA	corda de guitarra	Informational,Commercial,Transactional,Non-branded,Non-local
guitarra elétrica profissional	400	0	PAA	guitarra elétrica	Commercial,Transactional,Non-branded,Non-local
cordas da guitarra	350	0	PAA	cordas guitarra	Informational,Non-branded,Non-local
captador guitarra	300	2	PAA	malagoli	Informational,Commercial,Transactional,Non-branded,Non-local
quanto custa uma guitarra elétrica	300	0	PAA	guitarra elétrica	Informational,Commercial,Non-branded,Non-local
amplificador para guitarra	250	0	PAA	amplificador guitarra	Informational,Commercial,Transactional,Non-branded,Non-local
quem inventou a guitarra elétrica	200	0	PAA	quem inventou a guitarra elétrica	Informational,Non-branded,Non-local
marcha contra a guitarra elétrica	200	0	PAA	passeata contra a guitarra elétrica	Informational,Non-branded,Non-local
guitarra elétrica infantil	200	0	PAA	guitarra infantil	Commercial,Transactional,Non-branded,Non-local
guitarra 12 cordas	200	0		guitarra 12 cordas	Informational,Commercial,Transactional,Non-branded,Non-local
captador de guitarra	200	0	PAA	malagoli	Informational,Commercial,Non-branded,Non-local
nome das cordas da guitarra	200	0	PAA	nome das cordas da guitarra	Informational,Non-branded,Non-local
guitarra elétrica iniciante	200	0	PAA	guitarra para iniciantes	Informational,Commercial,Transactional,Non-branded,Non-local
guitarra 8 cordas	200	0	PAA	guitarra 8 cordas	Informational,Commercial,Transactional,Non-branded,Non-local
guitarra elétrica barata	200	0	PAA	guitarra elétrica barata	Informational,Commercial,Transactional,Non-branded,Non-local
cordas para guitarra	200	0	PAA	cordas guitarra	Commercial,Transactional,Non-branded,Non-local
cordas guitarra 010	150	0	PAA	corda 010 guitarra	Commercial,Transactional,Non-branded,Non-local
cordas elixir guitarra 010	150	0	PAA	elixir 010 guitarra	Commercial,Transactional,Branded,Non-local
pedaleira guitarra profissional	150				
guitarra cordas	150	0	PAA	corda de guitarra	Informational,Commercial,Transactional,Non-branded,Non-local
quantas cordas tem uma guitarra	150	0	PAA	quantas cordas tem a guitarra	Informational,Non-branded,Non-local
pedaleira para guitarra profissional	150				
cordas de guitarra 010	100	0	PAA	corda 010 guitarra	Commercial,Transactional,Non-branded,Non-local
melhor pedaleira para guitarra	100	0	PAA	melhor pedaleira custo beneficio	Informational,Commercial,Non-branded,Non-local
guitarra de 12 cordas	100	0	PAA	guitarra 12 cordas	Commercial,Transactional,Non-branded,Non-local
ei mãe eu tenho uma guitarra elétrica	100				Informational,Non-branded,Non-local
cordas ernie ball guitarra 010	100	0	PAA	ernie ball super slinky	Commercial,Transactional,Branded,Non-local
guitarra de 7 cordas	100	0	PAA	guitarra 7 cordas	Informational,Commercial,Transactional,Non-branded,Non-local
